BM_ITEM_ID	BM_SECTION	TARGET_TYPE	TARGET_ID	mapping_quality	NOTES
BM-0003-CORE-RSK-007	CORE	SPEC	SPEC-0016	coarse	mapping_quality: coarse; timezone/calendar drift prevention
BM-0003-CORE-RSK-008	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; RBAC/audit dependency
BM-0003-CORE-RSK-009	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; data classification
BM-0003-CORE-RSK-010	CORE	PRD	PRD-0006	coarse	mapping_quality: coarse; reporting consistency
BM-0003-CTRL-DEC-001	CTRL	PRD	PRD-0006	coarse	mapping_quality: coarse; RBAC expectations
BM-0003-CTRL-DEC-002	CTRL	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: Audit Trail & View Log
BM-0003-CTRL-DEC-003	CTRL	SPEC	SPEC-0016	coarse	mapping_quality: coarse; retention policy requirement
BM-0003-CTRL-GRD-001	CTRL	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: Audit Trail & View Log
BM-0003-CTRL-GRD-002	CTRL	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: Evidence / Attachment
BM-0003-CTRL-GRD-003	CTRL	PRD	PRD-0006	coarse	mapping_quality: coarse; authorization boundary (finance role)
BM-0003-CTRL-GRD-004	CTRL	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: Search & Reporting (permission boundary)
BM-0003-CTRL-GRD-005	CTRL	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: SLA & Calendar
BM-0003-CTRL-GRD-006	CTRL	PLATFORM_SPEC	SPEC-0014	refined	mapping_quality: refined; platform_capability: Notification & Communications (template allowlist)
BM-0003-CTRL-GRD-007	CTRL	PRD	PRD-0006	coarse	mapping_quality: coarse; source-of-truth + reconcile
BM-0003-CTRL-GRD-008	CTRL	PRD	PRD-0006	coarse	mapping_quality: coarse; masking/redaction policy
BM-0003-CTRL-ASM-001	CTRL	PRD	PRD-0006	coarse	mapping_quality: coarse; org/role model assumption
BM-0003-CTRL-ASM-002	CTRL	PRD	PRD-0006	coarse	mapping_quality: coarse; retention/audit assumption
BM-0003-CTRL-VAL-001	CTRL	TP	TP-0315	coarse	mapping_quality: coarse; RBAC validation
BM-0003-CTRL-VAL-002	CTRL	TP	TP-0315	coarse	mapping_quality: coarse; audit/evidence validation
BM-0003-MET-KPI-001	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; reporting requirements
BM-0003-MET-KPI-002	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; compliance reporting requirements
BM-0003-MET-KPI-003	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; compliance reporting requirements
BM-0003-MET-KPI-004	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; maintenance overdue reporting
BM-0003-MET-KPI-005	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; lead time reporting (p50/p95)
BM-0003-MET-KPI-006	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; fuel consumption reporting
BM-0003-MET-KPI-007	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; fuel anomaly reporting
BM-0003-MET-KPI-008	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; fine cost & closure reporting
BM-0003-MET-KPI-009	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; document completeness reporting
BM-0003-MET-KPI-010	MET	PRD	PRD-0006	coarse	mapping_quality: coarse; notification delivery reporting
